id,title,audienceScore,tomatoMeter,rating,ratingContents,releaseDateTheaters,releaseDateStreaming,runtimeMinutes,genre,originalLanguage,director,writer,boxOffice,distributor,soundMix,boxOfficeMil
youth_2015,Youth,69,71,R,"['Language', 'Graphic Nudity', 'Some Sexuality']",2015-12-04,2016-03-01,118,Drama,English,Paolo Sorrentino,Paolo Sorrentino,$2.7M,Fox Searchlight,Dolby Atmos,2.7
jurassic_world_dominion,Jurassic World Dominion,77,29,PG-13,"['Language', 'Intense Sequences of Action', 'Some Violence']",2022-06-10,2022-09-02,147,Sci-fi,English,Colin Trevorrow,"Emily Carmichael,Colin Trevorrow",$376.0M,Universal Pictures,"Dolby Digital, Dolby Atmos",376
peaceful_warrior,Peaceful Warrior,76,25,PG-13,"['Sensuality', 'Accident Scenes', 'Sex References']",2006-06-02,2006-12-19,121,Drama,English,Victor Salva,Kevin Bernhardt,$1.1M,Lionsgate Films,Dolby Digital,1.1
say_it_isnt_so,Say It Isn't So,31,8,R,"['Language', 'Crude Humor', 'Strong Sexual Content']",2001-03-23,2001-08-21,95,Comedy,English,James B. Rogers,"Peter Gaulke,Gerry Swallow",$5.5M,20th Century Fox,"Dolby SR, DTS, Dolby Stereo, Surround, Dolby A, Dolby Digital",5.5
layer_cake,Layer Cake,84,80,R,"['Nudity', 'Drug Use', 'Pervasive Language', 'Sexuality', 'Strong Brutal Violence']",2005-05-13,2005-08-23,105,Drama,English,Matthew Vaughn,J.J Connolly,$2.3M,Sony Pictures Classics,Dolby SRD,2.3
good_luck_chuck,Good Luck Chuck,57,5,R,"['Language', 'Crude Dialogue', 'Nudity', 'Some Drug Use', 'Strong Sexual Content']",2007-09-21,2008-01-15,99,Comedy,English,Mark Helfrich,Josh Stolberg,$35.0M,Lionsgate Films,"Dolby SRD, DTS, SDDS",35
wind_river_2017,Wind River,90,88,R,"['Disturbing Images', 'A Rape', 'Language', 'Strong Violence']",2017-08-18,2017-11-14,111,Drama,English,Taylor Sheridan,Taylor Sheridan,$33.8M,Weinstein Co.,Dolby Digital,33.8
semi_pro,Semi-Pro,38,22,R,"['Some Sexual Content', 'Language']",2008-02-29,2008-06-03,91,Comedy,English,Kent Alterman,Scot Armstrong,$33.5M,New Line Cinema,"SDDS, DTS, Dolby SRD",33.5
the_guard_2011,The Guard,81,94,R,"['Pervasive Language', 'Drug Material', 'Sexual Content', 'Some Violence']",2011-07-29,2012-01-03,95,Comedy,English,John Michael McDonagh,John Michael McDonagh,$5.4M,Sony Pictures Classics,Dolby Digital,5.4
savages_2012,Savages,54,50,R,"['Language Throughout', 'Drug Use Throughout', 'Nudity', 'Some Graphic Sexuality', 'Strong Brutal/Grisly Violence']",2012-07-06,2012-10-23,130,Drama,English,Oliver Stone,"Shane Salerno,Don Winslow,Oliver Stone",$47.3M,Universal Studios,"SDDS, Dolby Digital, Datasat",47.3
luminarias,Luminarias,67,69,R,"['Language', 'Sexuality']",1999-05-05,2007-01-02,101,Comedy,English,Jose Luis Valenzuela,Evelina Fernandez,$428.5K,"New Latin Pictures, Artist View Entertainment","Mono, Surround",0.4285
the_end_of_the_tour_2015,The End of the Tour,82,92,R,"['Some Sexual References', 'Language']",2015-07-31,2015-11-03,106,Drama,English,James Ponsoldt,Donald Margulies,$3.0M,A24,Dolby Digital,3
1104203-pledge,The Pledge,59,78,R,"['Sexuality', 'Language', 'Some Violence']",2001-01-19,2001-06-19,124,Drama,English,Sean Penn,"Friedrich Dürrenmatt,Jerzy Kromolowski,Mary Olson-Kromolowski",$19.7M,"E Stars Films, Warner Bros.","Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",19.7
dumbo_2019,Dumbo,48,45,PG,"['Peril/Action', 'Brief Mild Language', 'Some Thematic Elements']",2019-03-29,2019-06-25,112,Drama,English,Tim Burton,Ehren Kruger,$114.8M,Walt Disney,"DTS, Dolby Atmos",114.8
contagion_2011,Contagion,63,85,PG-13,"['Some Language', 'Disturbing Content']",2011-09-09,2012-01-03,106,Drama,English,Steven Soderbergh,Scott Z. Burns,$75.6M,Warner Bros. Pictures,"SDDS, Dolby Digital",75.6
before_night_falls,Before Night Falls,83,74,R,"['Some Language', 'Brief Violence', 'Strong Sexual Content']",2001-01-26,2001-05-22,132,Drama,English,Julian Schnabel,"Reynaldo Arenas,Lázaro Gómez Carriles,Cunningham O'Keefe,Julian Schnabel",$4.2M,"El Mar Pictures, Keyfilms Roma, Lolafilms Distribución, United King Films, Grandview, Fine Line Features","Dolby SR, Dolby Digital, Dolby A, Surround",4.2
shes_the_one,She's the One,41,62,R,"['Sex-Related Dialogue', 'Language']",1996-08-23,2001-10-16,96,Comedy,English,Edward Burns,Edward Burns,$9.5M,Fox,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",9.5
any_given_sunday,Any Given Sunday,73,52,R,"['Nudity', 'Language', 'Drug Content', 'Sexuality']",1999-12-22,2000-09-01,162,Drama,English,Oliver Stone,"Oliver Stone,Daniel Pyne,John Logan,John Logan",$75.5M,Warner Bros. Pictures,"Surround, DTS, Dolby Digital, SDDS",75.5
dredd,Dredd,72,79,R,"['Language', 'Drug Use', 'Some Sexual Content', 'Strong Bloody Violence']",2012-09-21,2013-01-08,96,Sci-fi,English,Pete Travis,Alex Garland,$13.3M,Lionsgate Films,"Datasat, Dolby Digital",13.3
hoot,Hoot,54,26,PG,"['Mild Bullying', 'Brief Language']",2006-05-05,2006-08-15,87,Comedy,English,Wil Shriner,Wil Shriner,$8.1M,New Line Cinema,"Dolby SRD, DTS, SDDS",8.1
tag_2018,Tag,57,56,R,"['Crude Sexual Content', 'Brief Nudity', 'Drug Use', 'Language Throughout']",2018-06-15,2018-08-17,100,Comedy,English,Jeff Tomsic,"Rob McKittrick,Mark Steilen",$54.5M,Warner Bros. Pictures,"Dolby Atmos, Dolby Digital",54.5
lords_of_dogtown,Lords of Dogtown,81,55,PG-13,"['Drug and Alcohol Content', 'All Involving Teens', 'Violence', 'Language', 'Reckless Behavior', 'Sexuality']",2005-06-03,2005-09-27,106,Drama,English,Catherine Hardwicke,"Stacy Peralta,Catherine Hardwicke",$11.0M,"Columbia Tristar, Sony Pictures Entertainment","SDDS, DTS, Surround, Dolby SRD",11
mindhunters,Mindhunters,57,24,R,"['Sexual Content', 'Language', 'Strong Graphic Images', 'Violence']",2005-05-13,2005-09-20,106,Drama,English,Renny Harlin,"Wayne Kramer,Wayne Kramer,Kevin Brodbin",$4.5M,Miramax Films,"SDDS, Dolby SRD, DTS, Surround",4.5
you_again,You Again,43,19,PG,"['Rude Behavior', 'Brief Mild Language']",2010-09-24,2011-02-08,105,Comedy,English,Andy Fickman,Moe Jelline,$25.7M,Walt Disney,"SDDS, Dolby Digital, DTS",25.7
green_lantern,Green Lantern,45,26,PG-13,"['Intense Seq. of Sci-Fi Violenc', 'Intense Seq. of Sci-Fi Action']",2011-06-17,2011-10-14,114,Sci-fi,English,Martin Campbell,"Greg Berlanti,Michael Green,Marc Guggenheim,Michael Goldenberg",$116.6M,Warner Bros. Pictures,"Dolby Digital, DTS, SDDS",116.6
haiku_tunnel,Haiku Tunnel,75,60,R,"['Language', 'Some Sexuality']",2001-09-14,2002-02-26,90,Comedy,English,"Jacob Kornbluth,Josh Kornbluth","Josh Kornbluth,Jacob Kornbluth",$252.1K,Sony Pictures Classics,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",0.2521
mona_lisa_smile,Mona Lisa Smile,60,34,PG-13,"['Thematic Issues', 'Sexual Content']",2003-12-19,2004-03-09,117,Drama,English,Mike Newell,"Lawrence Konner,Mark Rosenthal",$63.7M,"Columbia Pictures, Sony Pictures Entertainment","Surround, Dolby SR, DTS, SDDS",63.7
butter_2011,Butter,44,34,R,"['Sexual Content', 'Language', 'Brief Drug Use']",2012-10-05,2012-12-04,90,Comedy,English,Jim Field Smith,Jason A. Micallef,$70.9K,Weinstein Co.,"SDDS, Dolby Digital",0.0709
star_trek_nemesis,Star Trek: Nemesis,49,38,PG-13,"['Sci-Fi Action Peril', 'Scene of Sexual Content', 'Sci-Fi Action Violence']",2002-12-13,2003-05-20,117,Sci-fi,English,Stuart Baird,"Rick Berman,Brent Spiner,John Logan",$500.0K,Paramount Pictures,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",0.5
let_him_go,Let Him Go,76,84,R,['Violence'],2020-11-06,2020-11-24,114,Drama,English,Thomas Bezucha,Thomas Bezucha,$9.4M,Focus Features,Dolby Digital,9.4
shame_2011,Shame,75,79,NC-17,['Some Explicit Sexual Content'],2011-12-02,2012-04-17,99,Drama,English,Steve McQueen,"Steve McQueen,Abi Morgan",$4.0M,Fox Searchlight,Dolby Digital,4
feel_the_noise,Feel the Noise,42,11,PG-13,"['Sensuality and Innuendos', 'Language', 'Some Drug Use', 'Violence']",2007-10-05,2008-01-29,87,Drama,English,Alejandro Chomski,Albert Leon,$5.9M,Sony Pictures Entertainment,"SDDS, Dolby SRD, DTS",5.9
sweet_home_alabama,Sweet Home Alabama,78,38,PG-13,"['Some Sexual References', 'Some Language']",2002-09-27,2004-01-13,108,Comedy,English,Andy Tennant,"Douglas J. Eboch,C. Jay Cox",$127.2M,Touchstone Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",127.2
1212694-blind_side,The Blind Side,85,66,PG-13,"['Drug References', 'Brief Violence', 'Sexual References']",2009-11-20,2010-03-23,128,Drama,English,John Lee Hancock,John Lee Hancock,$256.0M,Warner Bros.,"SDDS, Dolby Digital, DTS",256
the_invisible_woman_2013,The Invisible Woman,44,75,R,['Some Sexual Content'],2013-12-25,2014-04-15,111,Drama,English,Ralph Fiennes,Abi Morgan,$1.2M,Sony Pictures Classics,Dolby Digital,1.2
the_beguiled,The Beguiled,48,78,R,['Some Sexuality'],2017-06-30,2017-10-10,94,Drama,English,Sofia Coppola,Sofia Coppola,$10.5M,Focus Features,Dolby Digital,10.5
we_dont_live_here_anymore,We Don't Live Here Anymore,54,65,R,"['Sexual Content', 'Language']",2004-01-20,2008-12-01,101,Drama,English,John Curran,"Andre Dubus,Larry Gross",$2.0M,Warner Independent,"Dolby Digital, Surround",2
evelyn,Evelyn,77,64,PG,"['Thematic Material', 'Language']",2002-12-13,2010-04-27,93,Drama,English,Bruce Beresford,Paul Pender,$1.4M,United Artists,Surround,1.4
war_of_the_worlds,War of the Worlds,42,75,PG-13,"['Frightening Sequences', 'Disturbing Images', 'Sci-Fi Violence']",2005-06-29,2005-06-28,116,Sci-fi,English,Steven Spielberg,"H.G. Wells,Josh Friedman,David Koepp",$234.3M,Paramount Pictures,"Surround, Dolby SRD, DTS, SDDS",234.3
1095351-1095351-what_planet_are_you_from,What Planet Are You From?,28,42,R,"['Sexuality', 'Language']",2000-03-03,2000-07-18,104,Comedy,English,Mike Nichols,"Garry Shandling,Michael Leeson,Garry Shandling,Michael Leeson,Ed Solomon,Peter Tolan",$6.3M,"Columbia Pictures, Sony Pictures Entertainment","Surround, Dolby Digital, DTS, SDDS",6.3
virgin_suicides,The Virgin Suicides,81,79,R,['Thematic Elements'],1999-05-12,2007-08-07,97,Drama,English,Sofia Coppola,"Sofia Coppola,Jeffrey Eugenides",$4.9M,Paramount Pictures,"Dolby Stereo, Dolby SR, Dolby Digital, Surround",4.9
bug,Bug,34,61,R,"['Language', 'Drug Use', 'Nudity', 'Sexuality', 'Some Strong Violence']",2007-05-25,2007-09-25,102,Drama,English,William Friedkin,Tracy Letts,$7.0M,Lionsgate Films,"Dolby, Dolby SRD",7
swimming_upstream,Swimming Upstream,80,61,PG-13,"['Domestic Abuse', 'Alcohol-Related Materials']",2005-02-04,2005-05-31,114,Drama,English,Russell Mulcahy,"Anthony Fingleton,Diane Fingleton",$47.2K,Metro-Goldwyn-Mayer,"Surround, Dolby SRD",0.047200000000000006
luv_2011,Luv,61,34,R,"['Some Drug Content', 'Language', 'Child Endangerment', 'Violence']",2012-12-28,2013-04-02,94,Drama,English,Sheldon Candis,"Sheldon Candis,Justin Wilson",$151.1K,Indomina,Stereo,0.15109999999999998
xmen,X-Men,83,82,PG-13,['Violence'],2000-07-14,2004-12-07,104,Sci-fi,English,Bryan Singer,"Bryan Singer,David Hayter",$157.3M,20th Century Fox,"Surround, Dolby EX, Dolby Digital",157.3
midway_2019,Midway,92,42,PG-13,"['Sequences of War Violence', 'Language', 'Smoking']",2019-11-08,2019-11-08,138,Drama,English,Roland Emmerich,Wes Tooke,$56.8M,Lionsgate Films,Dolby Atmos,56.8
windtalkers,Windtalkers,50,33,R,"['Pervasive Graphic War Violence', 'Language']",2002-06-14,2006-04-25,134,Drama,English,John Woo,"Joe Batteer,John Rice",$40.9M,Metro-Goldwyn-Mayer,"Dolby A, Surround, Dolby Digital, Dolby Stereo, Dolby SR, SDDS, DTS",40.9
shipping_news,The Shipping News,61,54,R,"['Sexuality', 'Disturbing Images', 'Some Language']",2002-01-11,2002-06-18,111,Drama,English,Lasse Hallström,"Robert Nelson Jacobs,E. Annie Proulx",$11.4M,Miramax Films,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",11.4
bubble_boy,Bubble Boy,48,31,PG-13,"['Language', 'Crude Sexual Humor']",2001-08-24,2003-08-05,84,Comedy,English,Blair Hayes,"Cinco Paul,Ken Daurio",$5.0M,Touchstone Pictures,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",5
1175072-license_to_wed,License to Wed,53,7,PG-13,"['Sexual Humor', 'Language']",2007-07-03,2007-10-30,91,Comedy,English,Ken Kwapis,"Kim Barker,Tim Rasmussen,Vince Di Meglio",$43.8M,Warner Bros.,"Dolby SRD, DTS, SDDS",43.8
the_letters_2015,The Letters,66,29,PG,"['Thematic Material', 'Some Images of Human Suffering']",2015-12-04,2016-04-19,119,Drama,English,William Riead,William Riead,$1.6M,Freestyle Releasing,"Dolby Digital, DTS, SDDS",1.6
hollywood_ending,Hollywood Ending,49,47,PG-13,"['Some Drug References', 'Sexual Material']",2002-05-03,2002-09-17,112,Comedy,English,Woody Allen,Woody Allen,$4.8M,DreamWorks SKG,"Mono, Dolby SR, Dolby Digital, Surround, Dolby A, Dolby Stereo",4.8
copying_beethoven,Copying Beethoven,56,28,PG-13,['Some Sexual Elements'],2006-11-10,2007-04-03,103,Drama,English,Agnieszka Holland,"Stephen J. Rivele,Christopher Wilkinson",$352.8K,Metro-Goldwyn-Mayer,Dolby Digital,0.3528
1098734-loser,Loser,35,24,PG-13,"['Drug Content', 'Crude Sexual Material', 'Language']",2000-07-21,2000-12-19,95,Comedy,English,Amy Heckerling,Amy Heckerling,$15.5M,"Sony Pictures Entertainment, Columbia Pictures","Stereo, SDDS, DTS, Surround",15.5
opportunists,The Opportunists,44,54,R,['Language'],2000-08-11,2018-09-17,89,Drama,English,Myles Connell,Myles Connell,$581.1K,First Look,"Dolby, Dolby Stereo",0.5811000000000001
lost_and_delirious,Lost and Delirious,78,51,R,"['Strong Sexual Content', 'Language']",2001-07-06,2001-12-11,102,Drama,English,Léa Pool,"Judith Thompson,Susan Swan",$302.4K,Lionsgate Films,"Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",0.3024
